Author,Comment,Published At,Likes
@muhammadihsan1905,"Mungkin karena mindset dari masa kecil kali ya ""dunia sementara akhirat selamanya"".

Betul, tujuan kita akhirat, tapi dunia jangan dianggap tidak penting. Makanya pada lari ke tempat yang serius mengurus hal2 duniawi",2024-07-31T00:00:15Z,0
@dony-fc5tq,"pada malas kerja, ga ada skill mau digaji gede😂, makanya nganggur",2024-07-30T23:04:52Z,0
@STORYkidzindo,Abis nonton IBF yg ada @rReymond Chinnya dan memang benar negara +62 ini bukan hanya krisis lapangan pekerjaan untuk para Gen Z doang tetapi para Gen X dan Gen Milenial juga pd bnyk yang nganggur sekarang ini. Apa lagi jaman sekarang sektor bidang jasa/service yang amat sangat minim yang demand nya lebih bnyak ke bidang IT.,2024-07-30T12:45:37Z,0
@santiseptiani8759,Duhh gen z gen z 🤦,2024-07-30T12:28:36Z,0
@asyrafsyahla7868,"video ini 2 bulan yang lalu masih 9.9 juta pengangguran di gen-z, sekarang approximately 10 juta gen-z nganggur this video aged well",2024-07-30T10:30:54Z,0
@wall78aja82,"Nih gua kasih triknya buat para lulusan sarjana yg pengen nyari kerja.. Lu mendingan ngalah dulu dah dengan ijazah sarjana lu, tapi maksud gua mengalah untuk menang.. Jadi pake dulu aja ijazah SMA lu buat ngelamar di pabrik-pabrik, banyak tuh di sekitaran Cikarang.. Lu mau naik bis dari cawang atau ngontrak dideket pabrik up to you, tapi pikirin juga costnya.. Nanti kalau udah diterima lu deketin tuh Supervisor lu, lu baek-baekin ajak becanda, nanti kalau udah sampai setahunan baru lu ngomong kalau lu tuh udah punya ijazah Sarjana S1.. Apalagi kalau lu rajin punya tenaga kulba (kuli bangunan) pasti direkomendasiin buat jadi staf data entry, etc.. Udah punya bukti, almarhum temen gua yg gua ajarin cara ini, dompetnya isinya US Dollar semua, kerja dari logistik pabrik sampai dapet posisi nyaman di pelabuhan export import, urusannya udah sama orang bule terus... Intinya mah lu kudu neken ego lu dulu sementara waktu.. Goodluck!",2024-07-30T02:50:20Z,0
@poconggenitt,negara kaya tpi di jdikan ladang lawakan oleh orang yg ga bertanggung jawab.semoga yg tidak becus memajukan indonesia dan sengaja ingin menghancurkan indonesia cepat dapat karma nya.,2024-07-29T15:05:40Z,0
@user-pv1uo6um7p,Indonesia suka maling UANG 💸💸💸😭😭😭,2024-07-29T13:21:13Z,0
@NAFARANMOTORAUTOSERVICE,Hidup di negara yg kaya tapi rakyat nya miskin,2024-07-28T14:44:15Z,0
@akchannel7234,Bkn pengangguran. Tpi asik main tiktok pd gila mau viral dpat cuan akhirnya. Mls nyari kerja,2024-07-28T08:42:02Z,1
@Pasien_nonton,"bang Raymond sehari baca berapa journal ? jadi penasaran. 
terimakasih untuk video nya yang sangat bagus.",2024-07-26T07:29:00Z,0
@esronparulian7987,"Hebat dong , konoha emang uokeh..!!! Sekalipun banyak genZ yg nganggur, pengangguran agak lama dan pengangguran akut, toh masih idup, Life style happy bos, Senggol donk. Skalipun out put nya banyak, bagus n higt kualiti tp ngak ada nilai(ngak lalu) sama aja yollo. Expl, Suzuki produk baik tp bangkrut di konoha. Selamat channel km laku.😂😂😂😂😅",2024-07-25T14:24:09Z,0
@Ramadan-e3g,"Percayalah kawan 10 tahun rezim berkuasa ,hanya di poles oleh konspirasi dan buzerRp agar terlihat merakyat dan benar*berkerja padahal selalu kita sadari semua kebutuhan pokok naik ,pekerjaan semakin susah di dapat, efek para menterinya doyan impor demi memenuhi hasrat pribadi dan golongan saja, enggan berinovasi, inginnya instan ,apalagi hutang negara semakin melesat  imbasnya pajak semakin naik, benar* Indonesia sedang tidak baik* kriminalitas semakin menjamur, tapi rezim seolah merasa Indonesia baik* saja ,kejam sih tapi itulah realitanya.",2024-07-25T09:16:15Z,0
@RandiandRucita,Wkwk  salah nya di gen z nya sendiri,2024-07-25T05:33:43Z,0
@mydyna,"Dulu kuliah ambil MI manajeman informatika dari satu kelas yang bener2 jadi programmer cuman saya. Yang lainnya kuliahnya gitu dateng nongkrong ajah belajar kaga, malah tentang jurusannya bener - bener pada gak ngerti. malah hampir 1 kelas saat skripsi minta jokiin sama saya untuk bikin programnya, malah gak dari kelas saya doang dari kelas lain juga pada minta jokiin. Harusnya target yang kuliah yang bener - bener mau upgrade skill sih, dan ingin belajar. Gak bisa sembarang orang yang cuman pengen ada gelar ajah. Yang ujung2nya yang ngejer gelar yah sama ajah jadi buruh, kurir dll. Bukannya kerja sesuai skillnya, padahal demand it gede saat itu.",2024-07-25T02:40:03Z,0
@WidyaPutri7,Sektor pertanian di benahi dong .. sekarang banyak lahan kosong .. sawah tak di garap ..,2024-07-24T06:05:58Z,0
@catyoju3894,Mayoritas Problem  adalah bergantung pada pemberi lapangan kerja,2024-07-23T11:29:05Z,0
@bomomuftihakim540,"Apalagi ditambah jaman yg serba instan, udah anak gen z rata² malas, ditambah banyak kriteria pelamar kerja, malah tambah semakin malas

Ayo dong pemerintah sekali aja kasih kebaikan buat mereka yang mau kerja, jangan anak² yang berbakat malah cabut ke luar negri, hapus usia maximum 25 tahun bagi pelamar kerja, saya juga buka usaha kasih lapangan pekerjaan ke orang² yg butuh juga, saya juga kerja",2024-07-23T00:21:58Z,0
@Ranes33,"jujur ya bg di tempat kerja saya ada keluar masuk Gen Z rata2 pemalas bg .
Gaji mau besar skil gak ada .
makanya banyak perusahan malas nerima Gen z . 
udah gitu Gen Z mau capek kalo kerja ..
macam perusahan tu punya bapaknya aja .
Kurang kedisiplinan dan tidak pandai menghormati org yang lebih tua pada Gen z sekarang .",2024-07-21T09:21:28Z,0
@zytpan,Jadi ragu mau daftar sekolah paket sma 😐,2024-07-21T08:38:43Z,0
@kere-aktif,"ORDAL, ORDAL, ORDAL yohhhh",2024-07-20T06:11:50Z,0
@N0v4n,Wkwkwk mabok rupiah kah bosss😂😂😂. Jangan harap bisa mengurangi jumlah pengangguran jika masih tetap mengandalkan ijasah😂😂😂😂. Siap pelamar kerja di pastikan harus menyertai ijasah 😂😂😂😂. Modar aja mau ngurangin jmlh pengangguran ngipiii. Jangan bedakan ijasah sama kerja bos. Perusahaan nda butuh ijasah bosku tapi butuh duit kalau mau masuk ke cv PT 😂😂😂😂. Saran buat gen z ciptakan peluang usaha sendiri aja jangan ngarep bisa diterima di perusahaan yang dimana ketatnya persaingan pelamar kerja. Saya ketrampilan yang dimiliki kembangkan sendiri jadikan peluang usaha untuk menuhin kebutuhan . Sekolah tinggi nda bakalan njamin dapet pekerjaan yang anda ingin kan 😂😂😂😂,2024-07-19T11:03:03Z,0
@rakhahibatillahazman84,makaish bang untuk edukasinya,2024-07-19T06:37:46Z,0
@AddictedOfSCoups,"saya gen z, walau tidak semua gen z seperti itu, dan mungkin ada banyak gen z berkualitas, namun kata ""banyak"" tersebut mungkin masih terhitung sangat sedikit dibanding total gen z yang ada di Indonesia, sehingga konsentrasi gen z berkualitas masih minim. Namun lagi, menurut saya wajar saja apabila kebanyakan orang sekarang lebih memilih job informal. karena sejak era covid, industri digital makin berkembang, bahkan berkembang pesat, dan dari sana semakin banyak orang yang mengenal pekerjaan digital dan beralih ke pekerjaan digital. alasan bahwa banyaknya gen z memilih pekerjaan digital yakni karena lebih mudah dan lebih menguntungkan dari segi ekonomi mungkin tidak salah, mungkin pekerjaan informal adalah pekerjaan untuk orang yang tidak memiliki semangat kerja tidak sepenuhnya juga salah. namun bukankah karena itu pekerjaan formal atau dalam isu yang sedang dibahas yakni pemerintah seharusnya menawarkan keuntungan yang lebih besar kepada pekerjanya",2024-07-19T04:31:26Z,0
@chendol9,Makanya sekarang banyak yang kerja di luar negeri,2024-07-19T01:48:46Z,1
@BelaSukamti,Tp kadang gen z lebih milih gaji udah tau kerja kek kuda gajinya sedikit langsung resign contoh garmen banyak bgt loker tp udah masuk langsung di mental down trus keluar nganggur😢,2024-07-18T16:49:58Z,1
@RayaSpaceU,"Salahnya sih Pendidikan lebih utama,.. karena ingat dulu Ortu kita ngajarin dgn kasar bentak² pukul pukulan, Guru suruh menghapal 50 kata dan ga dimanja, bisa tuh sekarang pada jadi sarjana. Sekarang karena kemajuan teknologi semua jadi berubah.
Seperti sekolah pesantren, tu galak ngajarinnya ga hafal kena rotan, sekarang sudah pada berhasil. Beda ama sekolah biasa sekarang anaknya di marahi kena masalah lapor ortu",2024-07-17T12:50:28Z,1
@nurcipitAllfrien,"😂 genz pilih"" Kerja milih jadi beban orangtua..... Gw pengusaha kecil kesulitan cari karyawan padahal tetangga anaknya banyak yg nganggur 😂😂😂 gengsi tetap no 1",2024-07-17T03:33:10Z,0
@ikakartina7842,Bagaimana Neara mau maju kalau SDM nya rendah karena biaya pendidikan mahal  di usahakan miimal s2  untuk punya penghasilan,2024-07-16T23:19:40Z,0
@markiyahrifaro8009,"Contoh China ,hasil bumi,pekerja dan SDM manusianya jd maju,Krn SDM manusianya ttp bila di Indonesia biaya sekolah dr TK- kuliah mahal sekali",2024-07-16T01:59:32Z,0
@markiyahrifaro8009,"Contoh Vietnam dan Thailand tentang pertanian,maju pesat dan diakui oleh dunia",2024-07-16T01:57:36Z,0
@ifaelmumarifat6421,"Saya lulusan S2 Administrasi Publik dengan predikat Cum-laude, sampai saya menulis ini saya masih dalam proses mencari kerja sambil menjalankan bisnis online & saya mempunyai pengalaman mengelola baby shop selama 7th & guru les selama 5th. Saya melamar ke posisi Management Trainee di sebuah perusahaan properti yang cukup besar di Jawa Barat, namun HRD menyuruh saya menjadi sales yg posisinya untuk lulusan SMA dan harus berkeliling door to door menggunakan motor untuk mencari konsumen, dengan alasan posisi management trainee sudah terisi penuh (padahal iklannya baru diposting 3hari sebelum orang HRD tersebut menghubungi saya) dan tentu saja saya menolak pekerjaan tersebut. Kesimpulannya, terkadang perusahaan merendahkan skill & pengalaman seseorang (pelecehan akademis).",2024-07-15T06:47:52Z,0
@rinahutajulu4566,Indonesia bukan tidak memberikan dana yg banyak untuk pendidikan...hanya saja SDM kita itu terbiasa untuk korupsi... Dan tanpa kita sadari sebenarnya korupsi itu dimulai dari pendidikan itu sendiri... sistem pendidikan yg sebenarnya mengajarkan kita ttg korupsi..,2024-07-15T01:20:40Z,0
@user-pz7fc2nx7w,Beda di era orde baru biar udah pensiun masih kuat dan sehat bisa di karyakan.,2024-07-15T00:11:46Z,0
@Motorngebulparah-g3u,"Semiskin miskinnya rakyat indonesia masih bisa makan. Ga kaya negara lain kalo liat di yutub ,sampe kurus kaya kayu",2024-07-14T20:44:46Z,0
@ilhamakbar7503,Blom tau ya dark nya system rekrutmen,2024-07-14T09:23:56Z,0
@duniagaming1753,kata pengangguran hanya berlaku buat orang yang g punya semangat berkarya dan semangat kerja. dia g pakai otak. hidup jalani sesuai keadaan adabtasi n ttp semangat,2024-07-14T07:48:56Z,0
@anugrahcell4547,Pengangguran sudah lama banyak.... saudara..... itu telah lama terjadi...,2024-07-14T05:21:40Z,0
@ALung-hw8oy,kerja ga kerja yg penting kawin bikin anak itu lah mental kebanyakan,2024-07-14T03:43:46Z,0
@dahlandollah7241,Tiada masalah utk negara Kaya seperti Indonesia ...,2024-07-13T19:30:47Z,0
@Jambayung,"Udah kerja tp gak digaji asalkan kerja doank, tp kadang2 di gaji dibawah umr. Kan intinya kerja dulu gaji pendapatan no.2 aja",2024-07-13T15:12:35Z,0
@Rahadianiarum313,banyakin proyek proyek yang sifatnya padat karya dan perbanyak bumn,2024-07-13T14:12:26Z,0
@AriWijaya-ev5lj,Nyari duit ga perlu kuli juga x bisa dagang Pakah orang dagang Ter masuk pengangguran,2024-07-13T10:56:37Z,0
@KADRUN_1NSAF,Intinya yg hebat & pintar itu netijen konoha 😅,2024-07-12T12:47:42Z,0
@Snhsn,Indonesia terpecah belah 2045.,2024-07-12T07:39:29Z,0
@DwiYatno-gq7iw,Jogetin.... Makan tu,2024-07-11T15:40:36Z,0
@Cirengtanpaisi,Moga aja bisnis cirengku bisa berkembang pesat dan jadi bisa buka banyak lowongan pekerjaan 😊,2024-07-11T11:53:53Z,10
@el.jingga2018,"Indonesia dpt makan GRATIS saudara""  & nepotisme menjamur  president kita sdh memberi  contoh NEPOTISME NYATA & di dukung",2024-07-11T03:37:40Z,0
@lesweldon2847,"Satu yg buat saya malas cari lowongan kerjaa diiondonesia krn trll kontoversi hrus bsa bhs hokien harus muslim nah itu, ditambah lg pemerintah tdk peduli dgn gen z ada istilah perusahaan bumn tp usaha keluarga nah rakyat jelata tetap melata",2024-07-11T02:56:33Z,0
@SeppFabian,"Gue lahiran 80an yg Alhamdulillah masih melanglang buana keluar masuk pabrik hingga saat ini..krn buat gua sendiri kerja di perusahaan adalah pondasi gua buat Modal buka usaha sendiri
Yg gua rasain saat ini bekerja sama anak2  Gen Z itu banyak mengeluh gak punya keinginan untuk meningkatkan karir dan cepat putus asa.. Padahal era saat ini menurut gue lebih mudah dan lebih simple dalam hal menjalankan tugas krn sudah didukung dengan kemajuan
Teknlogi digital dan android. Tapi banyak juga dr mereka yg lebih memilih kerja Freelance dan kerja tanpa ikatan dengan gaji kecil dan sistem kerja tidak tetap asalkan tidak mengganggu kehidupan main dan kebebasan mereka diluar kerja.
Seperti nongkrong bareng tmen Mabar game online ataupun Pacaran😅 Mungkin ngga semua Gen Z seperti itu tapi kebanyakan yang saya temui begitulah adanya.
Jelas Ada hal positif dr mereka yg saya perhatikan agar hal tersebut tidak di alami anak-anak saya nanti nya.sehingga saya bisa antisipasi sedini mungkin.",2024-07-10T18:55:19Z,0
@chintyafebrioza2008,"Edukasi scam, gue malah ingat kata² timoty anjirrrr😂",2024-07-10T16:19:44Z,0
@littlewingssilentweapon7517,"Gen Z sibuk tiktok, gak sempet mikirin kerja",2024-07-10T14:42:52Z,0
@user-od6gg3pu5x,Dimana susah nya cari kerja di Indonesia jumpa lah dengan ri Apik Indonesia yang jual bontot tu dia banyak lowongngan pekerjaan di indon,2024-07-10T11:25:42Z,0
@matzzchannel5797,Bang tolong edukasi nya jangan campur bahasa gaul aku kurang memahami kata kata nya😢,2024-07-10T10:15:50Z,1
@user-ze6mu8fr7o,Menurut saya awal mula nya dari judol sih makanya lapangan kerja makin sedikit karna banya pabrik yang tutup dan ekonomi perputarannya jadi terhambat,2024-07-10T05:24:51Z,0
@gunawanrahardjo2035,"Coba 10 juta gen Z yg pengangguran pada buat konten joget di tiktok maka mereka gak ada yg bakalan nganggur, dapat saweran juga, masalahnya mau nggak? Coba renungkan",2024-07-10T03:34:24Z,0
@anditenri644,"Buat konten khusus informasi seputar nambahin skil"" digital dong kak 🙏",2024-07-10T01:53:33Z,0
@GilangRamadhan-hz4tg,Bang lu cocok jadi presiden RI bang,2024-07-10T01:23:00Z,0
@niaesapuspasari9495,China memang luar biasa membela rakyatnya supaya maju... salah satunya menjajah ekonomi negara lain agar membeli produknya . Agar negara lain mau dijajah  ...dikasih hutang...Agar hutang bisa diterima negara lain ..carilah pemimpin bs disuap...hebat. bener gak tuh. Coba kl negara kita sprt china... jd semangat.,2024-07-10T01:13:29Z,0
@dawananil,Kesalahan dari pemerintah,2024-07-09T14:05:33Z,1
@muhammaderham5025,Apakah ini teori Dump Fake Out seperti di market Crypto? yg dimana akan ada penurunan lumayan drastis untuk menciptakan peningkatan yg begitu drastis?😹,2024-07-09T13:01:20Z,1
@PINTV-do4vd,"Pendapat saya karna kebijakan pemerintah yang banyak aturan bikin investor gagal masuk, kalau soal SDM nomor sekian ,karna di perusahaan bonafit itu yang paling utama kehadiran , kalau skil bisa di latih ....kebijakan pemerintah itu sangat berpengaruh",2024-07-09T09:21:56Z,0
@deltalabsstudio5787,Di indonesia segala aspek bisa dikorupsi ..dari hal yg paling rendah sampe ke tinggi ..itu akar masalahnya,2024-07-09T07:51:49Z,0
@Diarevairahmad,Perkerja profesional  kita du Indonesia digaji di bawah UMR. Kebanyakan kampus di Indonesia kampus bisnis mencetak pengangguran. Juga kalah sama orang dalam.,2024-07-09T02:01:30Z,0
@solusisolidaritas6442,"Harus ada entitas yg mampu mencipta kegiatan ekonomi dan lapangan kerja secara terukur berkelanjutan. Penganggur Terdidik Pasti Sukses.

https://youtu.be/mzdUVbn7RiY?si=8B-VVtyjpyCNuINl",2024-07-08T13:02:41Z,0
@tonyasa2250,BANG RAYMOND  wajib jadi DPR indonesia butuh org yang detail dari suatu masalah,2024-07-08T08:21:07Z,0
@tuankrabsgaming8726,"Saya hiring TK untuk staff ahli bisnis saya bidang agriculture perikanan, udh ogah ngambil gen z, mendingan saya ambil millenial yg udh proper dan gk byk muluk bahkan lebih logic menurut saya, mereka itu banyak tersesat di stigma"" bahwa indonesia ini punya potensi IT gede atau bidang entertaint padahal Indonesia ini kaya nya ya dibidang Agri",2024-07-08T08:09:45Z,0
@SarnimeSaranAnime,"sekolah mendidik untuk , bisa menguasai banyak hal, kayak ips,mtk,ipa,pkn, harusnya fokus 1/2, jangan kebanyakan",2024-07-08T06:30:45Z,0
@erwinlidra5006,"Ga ah.. mendingan skill saya dipakai untuk berkarir di luar negri.. diluar negri gaji lebih besar, hidup dijamin, fasilitas dijamin, biaya hidup yg tidak melebihi gaji.. dan yg paling penting diluar negri lebih dihargai.. 
Sekelas BYD & Tesla aja gajadi buka pabrik di indonesia.. trus apa alasan sy harus berkarir di indonesia 🙄",2024-07-08T05:47:05Z,1
@theodore4916,"pada pilih² pengen kerja apa, skill gada malah pengen kerja perusahaan, jadi ob aja ga cocok kadang secara rumah aja masih emaknya yang sapu.",2024-07-08T04:44:47Z,0
@ambanganheightskenangahome2450,Yang pasti wts semakin ramai. Rampok begal pelacuran mewarnai konoha meriah.,2024-07-08T03:36:53Z,0
@HelloNewMe1996,"Percaya banget kalau vietnam bisa jadi negara maju lebih cepat, dilihat dari kesungguhan belajar mahasiswa mereka yang diacungi jempol banget. Waktu masih menempuh S2 di Taiwan,banyak banget temen vietnam dan salah satunya pernah satu asrama sama aku. Dibandingkan aku dan temen indonesiaku , dia rajin banget buat belajar dan explore social edication in taiwan citize. As a result, dia cepet banget bisa beradaptasi sama negara baru, + hasil reportnya bagus banget. Nah, aku kira dia doang, ternyata hampir semua temen vietnam memiliki kesungguhan belajar yang tinggi . Rata"" setelah lulus mereka punya karir yang bagus , ditambah bahasa mandarin mereka joss karena hasil dari dedikasi selama masih sekolah. Bahkan ada yang setelah lulus dia dapet kerja di jerman sebagai engineer. *NOTE : Indian student also have high skill on their area. Ayo indoensia.. kita pasti bisa",2024-07-08T02:53:28Z,2
@HelloNewMe1996,"Jadi mikir lagi buat balik indo untuk cari kerja. Lagi ngerasa kerjaan ku hetic banget. karena burnout banget kerja di Negara Orang . Setelah lulus S2 , langsung sign kerja karena memang perusahaan tempat ku magang lagi butuh banget Data Anlyst. Tapi setelah di jalanin 2 tahun merasa kerja ikut perusahaan china itu bener"" melelahkan, kepikiran buat balik indo jadi pengajar (Dosen). Tapi masih meraba-raba karena lama gak balik indo. Apalagi setelah mendengar berita mengenai hal ini. ayo adik""... tetap semangat... saya dulu kuliah s1 sama kerja gosok baju. Kalau kalian merasa punya skill tapi belum rezeki di negeri sendiri, cobalah untuk melebarkan sayap ke negeri orang untuk belajar lagi atau melamar pekerjaan . aku yakin kalian bisa.",2024-07-08T02:21:40Z,0
@fandyfandi5207,Hancur lah bagi yang salah pilih jurusan dan skill gak ada,2024-07-07T18:23:38Z,0
@SAHABATPETUALANGMISTERI,Ini gelombang pengangguran msh efek dampak dr covid...ditambah bnyak yg inves k indonesia tp koruptornya tdk bs ditindak tegas minimal dihukum mati ky di china yg skrg sdh bersih makmur dan berkembang.,2024-07-07T12:04:16Z,0
@pibotuangxxx5782,"Jd buzzerp, penjilat pejabat aja..
Dijogetin aja..
2045 bentar lagi indonesia emas..
Sabar aja sampai 2045",2024-07-07T11:20:34Z,0
@ericlokollo1185,Negara ini mau jungkir balik apaoun juga tetap begini tidak pernah maju. Tinggal tempat,2024-07-07T10:53:48Z,0
@pakutajam7683,Penganguran akan bertambah dari tahun ke tahun jika sistem ekonomi lemah..,2024-07-07T07:15:05Z,0
@muhammadamirulhaq438,"Saya juga generasi z 97 usaha di sektor perikanan alhamdulillah tiap bulan sekali bisa panen 10 jt per bulan 
Intinya banyakin usaha di sektor pertanian perikanan. Dan peternakan 
Dan itu semua juga harus di dukung pemerintah",2024-07-07T05:34:18Z,1
@sotobos2719,"A: ""Pak/Bu perusahaan Bapak/Ibu, kok begini ......(komen negatif)""

B: ""Oh gitu ya, kalau menurut kamu apa solusinya?""

A: ""..... (memberikan solusi yang tidak komprehensif, karena dia kira dia pintar)""

B: ""bocah ngen.., gua pikir ""setidaknya"" dia udah paham masalahnya, (menggerutu dalam hati)""

Sekian keluh kesah rekan2 saya tentang orang2 bodoh yang merasa pintar. Mulutnya selalu penuh, tapi otaknya tidak pernah diisi.",2024-07-07T04:43:44Z,1
@mesban,"Kebanyakan beasiswa pendidikan tidak tepat sasaran karena pengaru orang dalam...
Saya alami sendiri malah anak orang mampu yg dapat.... 😭",2024-07-07T02:08:11Z,0
@alimutaqinchannels5261,"ak ngga percaya sama orang ini sejak dia bilang 2023 hancur wkwkwk, cumab bct doang dia.",2024-07-07T01:47:17Z,0
@harisrehan7660,"😎😎😎macul di sawah buruh tani UMP 5jt,,,, Indonesia makmur😂😂😂😂, ni pemerintahnya gmn sih ktnya negara maju.... Wkkkkj",2024-07-07T01:35:25Z,0
@yahiko4922,Inilah hasil kerja pemerintah yg kalian banggakan,2024-07-06T22:35:21Z,2
@user-zn7qp6yj7i,Mungkin ada solusi disitu. Oke Kita negara kaya akan kekayaan alam dan koruptor. Apabila kekayaan itu di alihkan untuk mencerdaskan kehidupan bangsa ya minimal S1 dari pada terburu buru bangun (the new city mother maap😅) mungkin kedepan bisa lebih mengejar pemerataan pendidikan,2024-07-06T17:37:13Z,0
@user-zn7qp6yj7i,Gw gen z. Gw emng ga kuliah tpi gw pingin bat sebanget bangetny kuliah. Tpi balik lagi ekonomi gw mungkin yg maksa gw mau ga mau hrus kerja. Dan kerja sambil kuliah itu di indo masih sedikit bat. Contoh di negara lain kita pulang ngampus kita bisa kerja ambil part time yg ngga terikat,2024-07-06T17:31:05Z,1
@gathel8574,apalagi genz gue millenial masih nganggur setahun. mikirnya sih kerja di ln semoga dapat pekerjaan lebih bagus di ln,2024-07-06T11:19:53Z,0
@denilotus5538,gak gen z ajalah yg Uda expert susah sekarang nyari kerja dan gajinya boncos semua jam kerjanya GK teratur jadi owner itu kalo jam kerja karyawan masih seenaknya jidat,2024-07-06T07:17:44Z,0
@deviwahyu1177,Nggak mau hire gen z tapi persyaratan kerja maksimal 25 tahun 😮‍💨,2024-07-05T15:27:55Z,0
@NewUser-rb4yq,"Susah kali cari kerja , bukan saya milih"" tapi yang punya lowongan biasanya yang banyak kriterianya kalo di indonesia ni ... saya  punya skill , tapi gak berguna kalo gak ada orang dalam ... capek kali di negara sendiri nih mau apapun pasti dipersulit , dan udah bertahun"" nganggur ni jadi hujatan semua keluarga , gimana lagi saya frustasi hidup ini  .... emang gak ada yang peduli , dan kalo emang misalnya kita menghilang pun siapa juga bakal peduli ...dah lah saya sudah pasrah ,  sudah putus asa saya , dah hampir 10 tahun jadi benalu di keluarga sendiri ...",2024-07-04T14:39:24Z,0
@gustialdi584,"Gak juga sih, swcara UMR Vietnam lebih murah aja drpd di Indonesia. Untuk UMR Zona 1 (ibu kota) saja gak lebih dr 200 USD. Kl dirupiah kan cuma brp? Yang pasti zona 2-4 lebih rendah drpd Zona 1...

Sedangkan di Jakarta UMR kita udah berapa? Itung deh 5.1 juta, berarti 310 USD",2024-07-04T12:48:18Z,0
@nurarinibatubaravera2420,"Saya yakin pekerjaan itu ada, namun perlu dicari memang.",2024-07-04T06:54:31Z,0
@ZahratulSriMadhani,"Aku gen Z ""kesalahannya gen z sendiri"" itu sangat tertampar, wooww bingung juga problemnya sangat melebihi kapasitas otakku😢",2024-07-04T06:10:56Z,0
@2712nicky,"Lho, yg 58% kemarin optimis kerja puas dengan kinerja pemerintah",2024-07-04T05:17:16Z,0
@randomvids2679,"Ya bayangin aja, ngelamar kerja persyaratannya berlapis-lapis, maunya apa coba

Dan yang paling utama, KORUPSI di segala bidang",2024-07-04T02:05:51Z,0
@ManihurukManihuruk-jf3kb,Hehehe....hehehe.....mulut penguasa cuma pemanis atau penjinak.,2024-07-03T13:43:11Z,0
